[[ue Tun 19 11:49:45 2018] [10068] /5 D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime2] ur: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtimei=/, i=/, method=GET, c
l=0]
[Tue Jun 19 11:51:07 2018] [8804] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 11:51:08 2018] [5216] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 11:56:48 2018] [10828] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 11:56:49 2018] [9764] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 11:56:49 2018] [9364] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 11:56:49 2018] [576] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 11:56:49 2018] [3244] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 11:56:50 2018] [9908] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 11:56:52 2018] [6944] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 11:56:52 2018] [9344] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 11:56:53 2018] [2588] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 11:56:53 2018] [1176] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 11:56:53 2018] [10780] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 11:56:53 2018] [5972] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 11:56:53 2018] [8756] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 11:56:54 2018] [10740] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 11:56:54 2018] [9640] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'mysql://:@[/var/run/mysqld/mysqld.sock]/?charset=utf8' undefined protocol 'mysql' [parser.runtime] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:10:59 2018] [10388] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'D:\openServer\domains\catss\cgi-bin/lib/libparser3mysql.so' не является приложением Win32. [<no type>] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:11:01 2018] [9892] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'D:\openServer\domains\catss\cgi-bin/lib/libparser3mysql.so' не является приложением Win32. [<no type>] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:11:01 2018] [9428] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'D:\openServer\domains\catss\cgi-bin/lib/libparser3mysql.so' не является приложением Win32. [<no type>] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:11:01 2018] [2248] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'D:\openServer\domains\catss\cgi-bin/lib/libparser3mysql.so' не является приложением Win32. [<no type>] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:11:01 2018] [8372] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'D:\openServer\domains\catss\cgi-bin/lib/libparser3mysql.so' не является приложением Win32. [<no type>] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:11:02 2018] [10840] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'D:\openServer\domains\catss\cgi-bin/lib/libparser3mysql.so' не является приложением Win32. [<no type>] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:11:03 2018] [9408] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'D:\openServer\domains\catss\cgi-bin/lib/libparser3mysql.so' не является приложением Win32. [<no type>] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:11:03 2018] [7148] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'D:\openServer\domains\catss\cgi-bin/lib/libparser3mysql.so' не является приложением Win32. [<no type>] [uri=/, method=GET, cl=0]
[Tue Jun 19 12:11:04 2018] [6176] /: D:/openServer/domains/catss/./classes/site.p(283:2): 'D:\openServer\domains\catss\cgi-bin/lib/libparser3mysql.so' не является приложением Win32. [<no type>] [uri=/, method=GET, cl=0]
